phrase,paper_count,word_count
graph,32076,1
number,27514,1
set,20855,1
vertex,19003,1
function,12855,1
edge,11464,1
class,11226,1
finite,10796,1
polynomial,10430,1
integer,9961,1
order,9660,1
group,9645,1
theorem,9174,1
theory,9018,1
degree,8158,1
formula,7196,1
matrix,7184,1
point,7007,1
simple,6668,1
type,6665,1
connected,6634,1
complete,6607,1
random,6577,1
linear,6562,1
maximum,6508,1
sequence,6389,1
tree,6318,1
space,6302,1
minimum,6262,1
positive,6235,1
partition,5819,1
cycle,5803,1
length,5768,1
form,5719,1
subset,5508,1
path,5402,1
symmetric,5390,1
fixed,5326,1
product,5298,1
element,5254,1
algebra,5172,1
time,5116,1
model,4908,1
subgraph,4646,1
pair,4596,1
permutation,4560,1
dimension,4539,1
even,4467,1
complex,4337,1
regular,4261,1
open,4111,1
lattice,4010,1
field,3922,1
system,3876,1
distance,3851,1
representation,3819,1
algebraic,3780,1
coefficient,3679,1
bounded,3662,1
characterization,3657,1
probability,3643,1
asymptotic,3573,1
plane,3487,1
power,3431,1
distinct,3409,1
bipartite,3322,1
free,3310,1
coloring,3192,1
combinatorics,3174,1
distribution,3152,1
vector,3120,1
solution,3051,1
odd,3050,1
derive,3025,1
positive integer,2999,2
uniform,2983,1
state,2962,1
planar,2957,1
imply,2944,1
author,2943,1
dimensional,2943,1
minimal,2927,1
identity,2914,1
series,2886,1
among,2863,1
matching,2862,1
polytope,2847,1
maximal,2832,1
similar,2811,1
map,2804,1
decomposition,2800,1
factor,2800,1
prime,2793,1
line,2793,1
respect,2768,1
invariant,2758,1
chromatic,2753,1
article,2731,1
smallest,2719,1
rank,2696,1
geometric,2679,1
hypergraph,2671,1
weight,2668,1
whether,2654,1
either,2651,1
discrete,2642,1
equivalent,2634,1
color,2629,1
real,2595,1
fact,2556,1
variety,2555,1
analysi,2545,1
sufficient,2528,1
variable,2511,1
apply,2507,1
complexity,2494,1
optimal,2477,1
exact,2463,1
analogue,2461,1
partial,2456,1
geometry,2454,1
code,2448,1
consequence,2437,1
limit,2421,1
connected graph,2395,2
extremal,2393,1
discus,2386,1
showing,2381,1
binary,2365,1
closed,2357,1
ring,2344,1
tight,2344,1
tool,2340,1
square,2315,1
addition,2315,1
best,2314,1
component,2314,1
object,2299,1
bipartite graph,2277,2
index,2267,1
finding,2264,1
intersection,2260,1
eigenvalue,2247,1
word,2219,1
local,2210,1
concept,2208,1
convex,2201,1
very,2198,1
well-known,2186,1
process,2183,1
network,2163,1
vertex set,2148,2
measure,2141,1
cardinality,2140,1
strong,2132,1
bijection,2125,1
inequality,2123,1
equation,2118,1
pattern,2108,1
showed,2102,1
characteristic,2084,1
necessary,2083,1
poset,2077,1
enumeration,2070,1
spectral,2050,1
description,2049,1
generated,2046,1
through,2038,1
basi,2035,1
four,2029,1
perfect,2028,1
matroid,2026,1
directed,2024,1
clique,2008,1
complete graph,2007,2
ideal,2002,1
framework,2002,1
standard,1981,1
isomorphic,1960,1
copy,1934,1
asymptotically,1924,1
make,1923,1
sharp,1922,1
dual,1918,1
topological,1915,1
cover,1900,1
chromatic number,1898,2
variant,1898,1
difference,1897,1
expansion,1886,1
motivated,1877,1
weighted,1867,1
namely,1862,1
