phrase,paper_count,word_count
upper bound,4734,2
lower bound,4425,2
positive integer,2999,2
connected graph,2395,2
bipartite graph,2277,2
vertex set,2148,2
complete graph,2007,2
chromatic number,1898,2
random graph,1683,2
maximum degree,1675,2
symmetric group,1641,2
regular graph,1594,2
minimum number,1571,2
planar graph,1530,2
finite field,1457,2
maximum number,1388,2
graph theory,1352,2
simple graph,1314,2
simplicial complex,1215,2
minimum degree,1188,2
polynomial time,1171,2
uniform hypergraph,1135,2
finite set,1107,2
adjacency matrix,1106,2
abelian group,1100,2
symmetric function,1083,2
automorphism group,971,2
free graph,951,2
cayley graph,949,2
perfect matching,940,2
spanning tree,934,2
directed graph,914,2
vector space,895,2
open question,817,2
finite group,790,2
vertex graph,776,2
partition function,772,2
complete bipartite,767,2
undirected graph,752,2
graph class,748,2
random walk,734,2
domination number,725,2
high probability,720,2
finite graph,717,2
exact value,712,2
extremal graph,700,2
spectral radius,690,2
dominating set,684,2
cartesian product,670,2
complete bipartite graph,661,3
ramsey number,631,2
connected component,612,2
edge set,610,2
representation theory,600,2
real number,598,2
random variable,587,2
independence number,585,2
coxeter group,577,2
lie algebra,566,2
schur function,557,2
time algorithm,557,2
catalan number,554,2
fixed point,542,2
hyperplane arrangement,537,2
arithmetic progression,529,2
degree sequence,529,2
maximum size,523,2
young tableau,509,2
point set,507,2
distinct vertex,504,2
lattice path,502,2
prime power,479,2
cubic graph,476,2
euclidean space,474,2
cluster algebra,468,2
equivalence class,467,2
characteristic polynomial,465,2
nonnegative integer,462,2
convex hull,461,2
clique number,457,2
dyck path,456,2
binomial coefficient,451,2
weyl group,450,2
hopf algebra,443,2
cyclic group,442,2
projective space,435,2
lattice point,431,2
markov chain,430,2
projective plane,428,2
hamilton cycle,426,2
ordered set,421,2
flag variety,420,2
number theory,417,2
average degree,416,2
non-negative integer,415,2
minimum cardinality,414,2
polynomial-time algorithm,413,2
betti number,412,2
line graph,412,2
phase transition,411,2
graph denoted,401,2
chordal graph,400,2
binary tree,399,2
bounded degree,398,2
total number,395,2
finite abelian,395,2
smallest number,391,2
turan number,389,2
isolated vertex,387,2
laplacian matrix,385,2
integer partition,384,2
power series,383,2
random matrix,381,2
finite abelian group,381,3
partial order,379,2
linear code,376,2
strongly regular,373,2
complete characterization,372,2
metric space,369,2
odd prime,368,2
monomial ideal,366,2
tensor product,366,2
hamiltonian cycle,361,2
minimum size,356,2
moduli space,353,2
tight bound,353,2
polynomial ring,349,2
fixed number,348,2
signed graph,347,2
color class,345,2
smallest integer,345,2
computer science,343,2
tutte polynomial,342,2
permutation group,342,2
oriented graph,342,2
proper coloring,342,2
triangle-free graph,342,2
young diagram,341,2
rooted tree,341,2
linear algebra,339,2
linear time,336,2
limit theorem,336,2
stirling number,335,2
intersection graph,334,2
odd cycle,333,2
rational function,332,2
finite simple,330,2
toric variety,328,2
latin square,328,2
partially ordered,326,2
linear programming,325,2
set partition,324,2
computational complexity,324,2
convex polytope,323,2
edge coloring,319,2
euler characteristic,317,2
shortest path,317,2
complete classification,316,2
sparse graph,314,2
association scheme,314,2
higher dimension,313,2
vertex degree,313,2
spanning subgraph,313,2
edge ideal,311,2
approximation algorithm,310,2
finitely generated,310,2
chromatic polynomial,309,2
root system,309,2
algebraic geometry,307,2
group action,306,2
